County,Year,MME,State,Population
Lake,2006,1623708218731.4363,Florida,.
Lake,2007,2281823139930.6016,Florida,.
Lake,2008,2933125842174.504,Florida,.
Lake,2009,4221594328535.1177,Florida,.
Lake,2010,5565589925262.427,Florida,.
Lake,2011,5761462562807.348,Florida,.
Lake,2012,4959415210964.113,Florida,.
Lake,2013,4453879583280.97,Florida,.
Lake,2014,3830160577573.271,Florida,.
Lee,2006,15053914904495.28,Florida,.
Lee,2007,14807244420852.504,Florida,.
Lee,2008,17778040549634.727,Florida,.
Lee,2009,22753005187981.0,Florida,.
Lee,2010,36396500635879.79,Florida,.
Lee,2011,30936246696171.87,Florida,.
Lee,2012,14014176973214.62,Florida,.
Lee,2013,12720655730777.508,Florida,.
Lee,2014,11984051381949.97,Florida,.
Leon,2006,669726318014.1792,Florida,.
Leon,2007,790368942684.5713,Florida,.
Leon,2008,928663798476.0712,Florida,.
Leon,2009,1024836139963.322,Florida,.
Leon,2010,1034870567181.7794,Florida,.
Leon,2011,1149879781695.5886,Florida,.
Leon,2012,1213223389388.705,Florida,.
Leon,2013,1337117086386.0857,Florida,.
Leon,2014,1139388869491.7815,Florida,.
Levy,2006,85559539324.189,Florida,.
Levy,2007,113952853502.08598,Florida,.
Levy,2008,157852475379.81378,Florida,.
Levy,2009,187372043600.85065,Florida,.
Levy,2010,200075967785.93335,Florida,.
Levy,2011,196775877837.7771,Florida,.
Levy,2012,152239788981.2176,Florida,.
Levy,2013,117044516284.911,Florida,.
Levy,2014,99939564374.49,Florida,.
Liberty,2006,146942745.6,Florida,.
Liberty,2007,184881228.9135,Florida,.
Liberty,2008,236736855.625,Florida,.
Liberty,2009,189837786.75000003,Florida,.
Liberty,2010,531233542.7,Florida,.
Liberty,2011,295558636.04999995,Florida,.
Liberty,2012,235533149.125,Florida,.
Liberty,2013,172925738.8,Florida,.
Liberty,2014,167026952.625,Florida,.
Madison,2006,3047917006.34005,Florida,.
Madison,2007,3541906829.9027257,Florida,.
Madison,2008,4114422274.5448494,Florida,.
Madison,2009,5003020608.130313,Florida,.
Madison,2010,6541296346.974999,Florida,.
Madison,2011,7787313443.075,Florida,.
Madison,2012,6868517670.8550005,Florida,.
Madison,2013,6444573476.655,Florida,.
Madison,2014,4488146021.287499,Florida,.
Manatee,2006,5090559002646.786,Florida,.
Manatee,2007,6100434240927.266,Florida,.
Manatee,2008,6788525151427.677,Florida,.
Manatee,2009,7340505980163.454,Florida,.
Manatee,2010,11930316563502.906,Florida,.
Manatee,2011,10368439577341.982,Florida,.
Manatee,2012,7016482248825.28,Florida,.
Manatee,2013,5388749234549.1,Florida,.
Manatee,2014,4573140781088.745,Florida,.
Marion,2006,3802210888050.901,Florida,.
Marion,2007,5178503948142.537,Florida,.
Marion,2008,5860141711934.042,Florida,.
Marion,2009,6259236360062.1045,Florida,.
Marion,2010,7694510535147.635,Florida,.
Marion,2011,7237140938629.948,Florida,.
Marion,2012,6001347389643.883,Florida,.
Marion,2013,5073697865504.252,Florida,.
Marion,2014,4484714683153.03,Florida,.
Martin,2006,897513082264.8937,Florida,.
Martin,2007,1045413534195.8192,Florida,.
Martin,2008,1355208929387.0005,Florida,.
Martin,2009,1633966934155.7317,Florida,.
Martin,2010,2050003839541.0627,Florida,.
Martin,2011,1839398856364.248,Florida,.
Martin,2012,1157306517980.116,Florida,.
Martin,2013,947937059219.3756,Florida,.
Martin,2014,680121841243.651,Florida,.
Miami-dade,2006,18659414883325.145,Florida,.
Miami-dade,2007,24148928425549.49,Florida,.
Miami-dade,2008,34467908464482.6,Florida,.
Miami-dade,2009,58069771818996.43,Florida,.
Miami-dade,2010,97569094231475.94,Florida,.
Miami-dade,2011,88200075572510.39,Florida,.
Miami-dade,2012,35747630392914.805,Florida,.
Miami-dade,2013,28030991221509.44,Florida,.
Miami-dade,2014,22550530028398.832,Florida,.
Monroe,2006,454748793977.5544,Florida,.
Monroe,2007,481659074519.3003,Florida,.
Monroe,2008,560502550373.2618,Florida,.
Monroe,2009,748215642347.166,Florida,.
Monroe,2010,751914045331.1682,Florida,.
Monroe,2011,680544778443.7917,Florida,.
Monroe,2012,426310216651.75726,Florida,.
Monroe,2013,260246489365.45905,Florida,.
Monroe,2014,253444004944.4355,Florida,.
Nassau,2006,197030389839.2329,Florida,.
Nassau,2007,241465324316.7737,Florida,.
Nassau,2008,291806914567.6335,Florida,.
Nassau,2009,341637975753.375,Florida,.
Nassau,2010,447928862740.6907,Florida,.
Nassau,2011,628506398618.2705,Florida,.
Nassau,2012,608956485013.4691,Florida,.
Nassau,2013,495719084899.10297,Florida,.
Nassau,2014,439553750455.2253,Florida,.
Okaloosa,2006,777529871217.9397,Florida,.
Okaloosa,2007,789709465332.7668,Florida,.
Okaloosa,2008,826133657820.2866,Florida,.
Okaloosa,2009,864635479434.6892,Florida,.
Okaloosa,2010,981184343120.9136,Florida,.
Okaloosa,2011,1095900864262.3636,Florida,.
Okaloosa,2012,1180307579758.5212,Florida,.
Okaloosa,2013,1215606797918.3855,Florida,.
Okaloosa,2014,1101958838272.348,Florida,.
Okeechobee,2006,96660557095.66438,Florida,.
Okeechobee,2007,119999430372.9546,Florida,.
Okeechobee,2008,130941547275.31252,Florida,.
Okeechobee,2009,158725727908.84537,Florida,.
Okeechobee,2010,263942670203.33072,Florida,.
Okeechobee,2011,218347846296.25027,Florida,.
Okeechobee,2012,142946255731.99557,Florida,.
Okeechobee,2013,129295387396.13904,Florida,.
Okeechobee,2014,113990402767.00044,Florida,.
Orange,2006,16857312082629.611,Florida,.
Orange,2007,21695108830648.312,Florida,.
Orange,2008,35331094912576.36,Florida,.
Orange,2009,53007794937162.81,Florida,.
Orange,2010,89141890800766.6,Florida,.
Orange,2011,71538119795401.02,Florida,.
Orange,2012,42172124003442.86,Florida,.
Orange,2013,28004576727492.57,Florida,.
Orange,2014,19989414721198.93,Florida,.
Osceola,2006,738693495469.2021,Florida,.
Osceola,2007,1007403322945.8396,Florida,.
Osceola,2008,1506983709582.8013,Florida,.
Osceola,2009,4121693147694.077,Florida,.
Osceola,2010,5392488885583.356,Florida,.
Osceola,2011,3544826532970.958,Florida,.
Osceola,2012,2237113949143.8203,Florida,.
Osceola,2013,1450470023904.468,Florida,.
Osceola,2014,1217911629952.3608,Florida,.
Palm beach,2006,64461820488640.52,Florida,.
Palm beach,2007,97317887556476.5,Florida,.
Palm beach,2008,139871658124824.0,Florida,.
Palm beach,2009,200561831613937.12,Florida,.
Palm beach,2010,210148355331926.8,Florida,.
Palm beach,2011,109508293254124.94,Florida,.
Palm beach,2012,62125034963878.07,Florida,.
